id,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
46464,0.630359,10,6,1582,268,23.795964,254,252,18072.24219,2842.824463,2,1,67.401111,110.464797,4020.770706,186.732438,255,2164391053,612381010,255,0.121889,0.078029,0.04386,158,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1
53131,4e-06,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,4,4,4,4,0,0,0,11,14,0,1
55615,13.714951,8,6,364,268,0.947871,62,252,186.07431,130.660339,1,1,1959.258357,2729.9745,161569.7783,5420.989,255,1083019252,2103956775,255,0.118589,0.065075,0.053514,46,45,0,0,2,1,6,3,1,6,0,0,0,6,2,0,1
47880,0.481279,8,10,364,3754,35.322548,62,252,5302.537598,56167.00781,1,3,68.754145,48.016444,4669.090297,3974.129278,255,2394995067,4103048224,255,0.090098,0.045423,0.044675,46,375,0,0,1,1,2,1,1,2,0,0,0,2,1,0,1
18943,8e-06,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,2,16,16,16,34,0,0,0,16,34,0,1
20134,8e-06,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,31,2,7,7,7,31,0,0,0,7,31,0,1
58901,1.1e-05,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,2,11,11,8,11,0,0,0,11,18,0,1
22479,5e-06,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,32,2,20,20,20,32,0,0,0,20,32,0,1
45109,0.763792,12,14,602,940,32.731425,62,252,5781.678711,9143.850586,4,4,69.435636,55.05623,4063.551013,3315.275642,255,3499519788,2918940466,255,0.047392,0.047392,0.0,50,67,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
8790,0.92449,10,10,608,646,20.551872,254,252,4742.074219,5036.290527,1,4,7451.5429,7453.957,735893.1883,22081.702,255,2419238425,2996094669,255,0.190728,0.109768,0.08096,61,65,0,0,5,1,2,2,2,3,0,0,0,3,4,0,1
2354,0.869355,8,8,364,1234,17.254171,62,252,2935.509521,9938.402344,1,2,124.02571,113.407711,8441.565764,220.016297,255,3866574743,1334720724,255,0.103524,0.075493,0.028031,46,154,0,0,1,1,2,1,1,2,0,0,0,2,1,0,1
59484,1.1e-05,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,3,3,3,3,0,0,0,4,10,0,1
49122,3e-06,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,21,2,4,4,4,4,0,0,0,5,16,0,1
50504,1.126288,12,8,994,730,16.869574,254,252,6477.916504,4538.803223,3,2,91.117821,140.430141,4646.28036,162.790969,255,1978867292,1887701136,255,0.204128,0.143273,0.060855,83,91,0,0,2,1,1,1,1,1,0,0,0,1,2,0,1
62058,0.556217,22,10,17778,806,55.733642,254,252,244077.3906,10441.96777,8,2,25.835334,54.532332,1926.227979,84.771539,255,1889057083,2394052370,255,0.118084,0.065419,0.052665,808,81,0,0,4,1,2,2,1,2,0,0,0,2,4,0,1
50820,1.1e-05,2,0,78,0,90909.0902,254,0,28363636.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,9,2,3,2,1,3,0,0,0,4,8,0,1
46935,1.1e-05,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,5,4,4,5,0,0,0,8,7,0,1
